Дата запуска,Блюдо,Количество повторных продаж,Стоимость по меню,Фактическая цена реализации за ед,Продано количество,Подарено по акции,Количество продаж с уценкой,Кол-во товаров проданных по спец цене ПЛ,Кол-во товаров проданных за живчики,Кол-во списаний,закупка
05.04.2023,"Банановый латте, стакан 400",88.0,981,147,163.0,0,0,0,0,0.0,165.0
26.09.2024,Баранки ванильные,2.0,55,55,6.0,0,0,0,0,0.0,6.0
08.11.2023,Батарейки ААА (мизинчиковая) 4шт,0.0,222,222,1.0,0,0,0,0,0.0,1.0
24.11.2022,Батончик глазированный CHOCONUT «Арахис и Шоколад»,0.0,112,90,5.0,0,0,0,0,0.0,5.0
25.08.2021,Безглютеновые макароны из гречневой муки Спираль 250г,0.0,166,166,1.0,0,0,0,0,0.0,1.0
06.03.2022,Безе ,8.0,84,79,12.0,0,0,0,0,4.0,16.0
25.01.2022,"Бекон из свинины копчено-запеченный, 150г",1.0,279,246,3.0,0,1,0,0,3.0,7.0
11.07.2024,"Бекон нарезка, 150г",0.0,212,209,1.0,0,0,0,0,4.0,5.0
13.01.2023,Белевская пастила Классическая,3.0,129,129,5.0,0,0,0,0,0.0,5.0
12.01.2023,Белевская пастила с Вишней,1.0,146,146,3.0,0,0,0,0,0.0,3.0
27.06.2022,Белый Шоколад с воздушным рисом и фисташкой,0.0,145,145,3.0,0,0,0,0,0.0,3.0
12.09.2023,Бельгийская вафля с беконом и омлетом в медово-горчичном соусе,15.0,358,191,41.0,0,6,0,0,60.0,101.0
12.09.2023,Бельгийская вафля с курицей в соусе ранч и свежими овощами,35.0,193,0,0.0,0,0,0,0,5.0,5.0
23.08.2024,Бельгийская вафля с курицей в соусе ранч и свежими овощами. ИП Курмачев Михаил Иванович (Хохрякова),35.0,452,180,65.0,0,3,0,0,20.0,91.0
12.09.2023,Бельгийская вафля с подкопченным лососем и песто,19.0,195,0,0.0,0,0,0,0,2.0,2.0
18.03.2025,Бельгийская вафля с подкопченным лососем и песто. ИП Курмачева Е.С.,19.0,311,212,33.0,0,2,0,0,3.0,38.0
28.10.2024,Бенто-торт Буу,0.0,535,535,2.0,0,0,0,0,0.0,2.0
03.10.2024,Бенто-торт Учителю,0.0,475,475,1.0,0,0,0,0,1.0,2.0
07.12.2021,Бефстроганов с картофельным пюре,7.0,307,0,0.0,0,0,0,0,1.0,1.0
15.10.2024,Бефстроганов с картофельным пюре. САНТОС 2,7.0,326,271,18.0,0,0,0,0,2.0,20.0
15.08.2023,"Биойогурт «Бифилайф» с вишней и черешней 2,5%, 310г",0.0,58,0,0.0,0,0,0,0,2.0,2.0
18.07.2023,"Биойогурт «Бифилайф» с киви и бананом 2,5%, 310г",4.0,64,56,10.0,0,2,0,0,0.0,12.0
18.07.2023,"Биойогурт «Бифилайф» с клубникой и земляникой 2,5%, 310г",3.0,62,56,13.0,0,2,0,0,1.0,16.0
24.11.2021,Биточки из минтая с давленным картофелем и соусом тар-тар,2.0,173,0,0.0,0,0,0,0,10.0,10.0
14.02.2025,Биточки из минтая с давленным картофелем и соусом тар-тар. Качество вкуса Сибирь,2.0,173,173,4.0,0,0,0,0,0.0,4.0
19.03.2024,"Благотворительное пожертвование фонду ""Дари еду""",0.0,100,0,5.0,0,0,0,500,0.0,507.0
19.03.2024,"Благотворительное пожертвование фонду ""ДоброДомик""",0.0,100,0,10.0,0,0,0,1000,0.0,1011.0
16.01.2025,Блинчик с ветчиной и сыром. Маркетинг и еда,56.0,513,175,81.0,0,0,0,0,5.0,86.0
18.10.2022,Блинчики Крем-чиз Варенка,21.0,169,0,0.0,0,0,0,0,4.0,4.0
16.01.2025,Блинчики Крем-чиз Варенка. Маркетинг и еда,21.0,195,143,34.0,0,0,0,0,2.0,36.0
16.01.2025,Блинчики Хачапури. Маркетинг и еда,58.0,606,108,103.0,0,0,57,0,0.0,165.0
10.03.2024,Блинчики с ветчиной и сыром 4 шт,3.0,330,0,0.0,0,0,0,0,4.0,4.0
17.01.2025,Блинчики с ветчиной и сыром 4 шт. Маркетинг и еда,3.0,380,327,15.0,0,1,0,0,3.0,18.0
16.02.2023,Блинчики с джемом и сметаной,14.0,122,0,0.0,0,0,0,0,5.0,5.0
16.01.2025,Блинчики с джемом и сметаной. Маркетинг и еда,14.0,140,103,23.0,0,0,0,0,0.0,23.0
13.08.2024,"Блинчики с творогом и клубникой, 500г",3.0,388,388,4.0,0,0,0,0,0.0,4.0
16.01.2025,"Блинчики с творогом, шт 240 гр. Маркетинг и еда",65.0,558,119,102.0,0,0,72,0,2.0,178.0
19.07.2022,Блинчики фаршированные с мясом 500 гр,1.0,439,439,1.0,0,0,0,0,0.0,1.0
14.08.2024,Блины с творогом и грушей 500г,0.0,419,419,1.0,0,0,0,0,0.0,1.0
04.07.2023,"Бомбочка вафля ДИКАЯ ЯГОДА, 140 гр",0.0,299,299,1.0,0,0,0,0,0.0,1.0
04.07.2023,"Бомбочка вафля МЯТНО-КЛУБНИЧНАЯ КАРАМЕЛЬ, 140 гр",1.0,299,299,1.0,0,0,0,0,0.0,1.0
04.07.2023,"Бомбочка вафля ЧЕРНИЧНЫЙ ПИРОГ, 140 гр",1.0,299,299,1.0,0,0,0,0,0.0,1.0
13.11.2023,Борщ классический с говядиной (заморозка),2.0,245,245,2.0,0,0,0,0,0.0,2.0
29.02.2024,Борщ с курицей,12.0,208,129,40.0,0,0,0,0,8.0,49.0
16.05.2019,"Борщ с мясом, шт 300гр",31.0,175,0,0.0,0,0,0,0,1.0,1.0
17.03.2025,"Борщ с мясом, шт 300гр. Маркетинг и еда",31.0,311,173,52.0,0,1,0,0,0.0,53.0
04.08.2024,Боул Bowl с тунцом,6.0,328,0,0.0,0,0,0,0,6.0,6.0
17.01.2025,Боул Bowl с тунцом. Маркетинг и еда,6.0,367,306,18.0,0,0,0,0,1.0,19.0
19.08.2024,Боул Лосось-Киноа,1.0,385,0,0.0,0,0,0,0,8.0,8.0
17.01.2025,Боул Лосось-Киноа. Маркетинг и еда,1.0,450,450,3.0,0,0,0,0,0.0,3.0
25.08.2024,Боул с говядиной,0.0,313,295,2.0,0,0,0,0,2.0,4.0
19.08.2024,Боул с курицей ,0.0,320,0,0.0,0,0,0,0,12.0,12.0
16.01.2025,Боул с курицей . Маркетинг и еда,0.0,320,320,5.0,0,0,0,0,0.0,5.0
04.12.2021,Боул с курицей и манго,2.0,307,0,0.0,0,0,0,0,10.0,10.0
12.08.2024,Боул с курицей и манго. ИП Павлов Алексей Валерьевич,2.0,270,270,6.0,0,0,0,0,1.0,7.0
27.04.2020,Брауни 120г,8.0,152,137,10.0,0,0,0,0,2.0,12.0
06.12.2022,Брауни шоколадный,5.0,155,106,16.0,0,0,0,0,6.0,22.0
26.02.2022,Бриошь с вишней,6.0,131,99,26.0,0,4,0,0,13.0,43.0
28.08.2021,Бриошь с карамелью,8.0,125,94,24.0,0,1,0,0,2.0,27.0
09.06.2022,Бриошь с шоколадом,8.0,149,115,20.0,0,0,0,0,7.0,27.0
28.08.2021,Бриошь сливочная,9.0,111,97,20.0,0,1,0,0,11.0,32.0
13.12.2022,Броне-капучино стакан 300,4.0,319,190,9.0,0,0,0,0,0.0,9.0
05.03.2022,"Брусника быстрозамороженная пл/уп, 300г 		",0.0,285,0,0.0,0,0,0,0,16.0,16.0
08.02.2020,Буженина,0.0,835,0,0.0,0,0,0,0,2.132,2.0
19.04.2022,"Буженина из свинины по-домашнему, с/н (150г)",2.0,346,268,7.0,0,3,0,0,4.0,14.0
17.11.2020,Булгур с индейкой в сливочном соусе 220г,5.0,218,0,0.0,0,0,0,0,8.0,8.0
01.02.2024,Булгур с индейкой в сливочном соусе 220г. ИП Ульшин Александр Игоревич,5.0,261,206,11.0,0,1,0,0,0.0,12.0
31.07.2019,Булочка Бао говядина с капустой Mr.Chu,0.0,98,98,4.0,0,0,0,0,1.0,5.0
31.07.2019,Булочка Бао курица с овощами Mr.Chu,2.0,106,105,7.0,0,0,0,0,3.0,10.0
02.08.2019,Булочка Бао свинина кимчи Mr.Chu,3.0,102,101,10.0,0,0,0,0,4.0,14.0
11.12.2020,Булочка пшеничная 45г,26.0,28,17,45.0,0,0,0,0,8.0,53.0
16.12.2020,Булочка ржаная 45г,7.0,21,14,16.0,0,0,0,0,7.0,23.0
10.08.2022,Вареники с картошкой 450 грамм,4.0,432,336,9.0,0,0,0,0,0.0,9.0
07.01.2024,Варенье из вишни без сахара 210г,0.0,209,0,0.0,0,0,0,0,1.0,1.0
